group,country,count
Your Fans,JP,17363
Your Fans,US,12402
Your Fans,BR,6894
Your Fans,PH,3290
Your Fans,GB,2946
Your Fans,MX,2569
Your Fans,AU,2460
Your Fans,TH,1945
Your Fans,CA,1494
Your Fans,CZ,1456
Your Fans,PL,1456
Your Fans,FR,1424
Your Fans,DE,1149
Your Fans,HR,890
Your Fans,IT,830
Your Fans,ES,822
Your Fans,KH,665
Your Fans,PT,663
Your Fans,PE,626
Your Fans,AR,599
Your Fans,MY,564
Your Fans,NZ,517
Your Fans,NL,488
Your Fans,IE,472
Your Fans,CL,425
Your Fans,MM,404
Your Fans,KR,380
Your Fans,IN,376
Your Fans,VN,376
Your Fans,TW,372
Your Fans,SK,335
Your Fans,ID,297
Your Fans,BE,272
Your Fans,SE,270
Your Fans,HK,267
Your Fans,BO,265
Your Fans,PK,257
Your Fans,CH,252
Your Fans,RS,224
Your Fans,MA,222
Your Fans,SG,220
Your Fans,AT,212
Your Fans,MN,207
Your Fans,CO,203
Your Fans,GR,194
