hashtags,Posts count,Reach,Engagement Rate
#RIZIN_LANDMARK11,96,2156.6875,2.1387821533408227
#SuperRIZIN4,7,5502.714285714285,4.245449220988019
#RajabaliShaidullaev,1,2987,2.711750920656177
#KleberKoike,2,3710.5,2.7165812988018807
#MikuruAsakura,2,3710.5,2.7165812988018807
#MoeriSuda,1,3108,1.9638897687678176
#NOEL,1,3108,1.9638897687678176
#NaokiInoue,1,2129,1.8318459370596525
#RyuyaFukuda,1,2129,1.8318459370596525
#RIZINFightPicks,1,4032,3.130227001194743
#RIZINtv,13,2778.6153846153848,2.6164431181399883
#RIZINLANDMARK11,1,4032,3.130227001194743
#RIZIN,5,2748,3.10622856222085
#Zhaxibading,6,4646.166666666667,1.892505261189881
#PrinceAounallah,4,668,1.9459420189193255
#KeiichiSasahara,1,2344,1.870748299319728
#RIZINOfficialYouTubeUpdate,1,2344,1.870748299319728
#KenseiYamakawa,4,760.75,2.192847603994531
#FarphayapGRABS,3,902.6666666666666,1.7746885671049013
#SoraYamamoto,3,2259.3333333333335,2.450460325926658
#Salt,4,2312.25,2.374674778313677
#RaikiEndo,4,5910.5,1.4156321114118795
#KatanaUeno,1,521,1.876172607879925
#KutoUeno,2,1046.5,2.311556266052474
#YuyaUzawa,4,5629.5,3.120811656086065
#VugarKaramov,5,963.2,2.054160331669351
#ViktorKolesnik,3,2334.6666666666665,1.4703872605923138
#IlkhomNozimov,4,961.25,1.3515576377933038
#MagerramGasanzade,4,4060.25,2.0567329089672106
#AleksandrSoldatkin,3,585.3333333333334,1.7510966438040256
#YoshinoriHorie,4,1723.25,2.8814856743644213
#TaichiNakajima,3,719.6666666666666,2.165447116450561
#SinaKarimian,5,1453.8,1.8965219887805802
#Machi,4,2342.75,2.3991845822352453
#JojiGoto,4,3477.5,1.632820361597042
#SASUKE,3,2375.3333333333335,1.2954794846923339
#YamatoNishikawa,3,1568.6666666666667,2.7171117353597083
#ShuyaKimura,4,1374.25,2.27279826863007
#TatsuyaAndo,3,5382.333333333333,1.8797670115679488
#CORO,3,876.3333333333334,2.222244091605941
#Viktor,1,342,1.1695906432748537
#KanataUeno,3,898.6666666666666,2.6444671963874935
#Toshizo,1,19883,1.430834973832045
#KuutoUeno,2,758,2.5069285534747223
#JinnosukeKashimura,2,5884.5,1.7559795023439433
#HiroakiSuzuki,2,3080.5,3.200254672725169
#IlkhomNodjimov,1,642,0.60790273556231
#SuguruNii,2,949,1.4201946318304235
#RIZIN10thAnniversary,1,2421,3.6890122967076557
#TsuwamonoNoSu,1,2421,3.6890122967076557
#Toshizou,2,1139,4.738804250452957
#HidetakaKaijuKiller,2,1236.5,2.9692415047878615
#FahpayapGRABS,1,783,3.5452322738386304
#RIZIN51,1,1366,3.9603960396039604
#AlexanderSoldatkin,1,985,2.8599605522682445
