group,city,count
Your Fans,Bishkek, Bishkek,1272
Your Fans,Yokohama, Kanagawa Prefecture,584
Your Fans,Osaka, Osaka Prefecture,443
Your Fans,Nagoya-shi, Aichi Prefecture,278
Your Fans,Moscow, Moscow,242
Your Fans,Sapporo-shi, Hokkaido,234
Your Fans,Almaty, Almaty Region,195
Your Fans,Kobe-shi, Hyōgo Prefecture,193
Your Fans,Fukuoka-shi, Fukuoka Prefecture,184
Your Fans,Kawasaki-shi, Kanagawa Prefecture,178
Your Fans,Kyoto-shi, Kyoto Prefecture,163
Your Fans,Osh, Osh Region,162
Your Fans,Baku, Baku,160
Your Fans,Sendai, Miyagi Prefecture,143
Your Fans,Shymkent, South Kazakhstan Region,140
Your Fans,Saitama-shi, Saitama Prefecture,139
Your Fans,Setagaya-ku, Tokyo,132
Your Fans,Saint Petersburg, Saint Petersburg,126
Your Fans,Tselinograd, Akmola Region,101
Your Fans,Kitakyushu-shi, Fukuoka Prefecture,97
Your Fans,Hiroshima, Hiroshima Prefecture,95
Your Fans,Edogawa-ku, Tokyo,91
Your Fans,Adachi-ku, Tokyo,88
Your Fans,Hamamatsu-shi, Shizuoka Prefecture,87
Your Fans,Chiba-shi, Chiba Prefecture,86
Your Fans,Okayama-shi, Okayama Prefecture,86
Your Fans,Ota-ku, Tokyo,82
Your Fans,Sakai-shi, Osaka Prefecture,77
Your Fans,Kochkor-Ata, Jalal-Abad Region,77
Your Fans,Nerima-ku, Tokyo,73
Your Fans,Bangkok, Bangkok,68
Your Fans,Koto-ku, Tokyo,67
Your Fans,Himeji-shi, Hyōgo Prefecture,66
Your Fans,Niigata-shi, Niigata Prefecture,65
Your Fans,Tehran, Tehran Province,65
Your Fans,Kawaguchi-shi, Saitama Prefecture,64
Your Fans,Kumamoto-shi, Kumamoto Prefecture,64
Your Fans,Funabashi-shi, Chiba Prefecture,63
Your Fans,Shinagawa-ku, Tokyo,62
Your Fans,Sagamihara-shi, Kanagawa Prefecture,62
Your Fans,Nakano-ku, Tokyo,61
Your Fans,Minato-ku, Tokyo,61
Your Fans,Naha-shi, Okinawa Prefecture,60
Your Fans,Hachioji, Tokyo,60
Your Fans,Mexico City, Distrito Federal,60
Your Fans,Hong Kong, Hong Kong,60
Your Fans,Katsushika-ku, Tokyo,60
Your Fans,Seoul, Seoul,60
Your Fans,Shizuoka-shi, Shizuoka Prefecture,59
Your Fans,Itabashi-ku, Tokyo,57
