group,country,count
Your Fans,JP,12145
Your Fans,US,1990
Your Fans,KG,1538
Your Fans,BR,957
Your Fans,KZ,665
Your Fans,RU,575
Your Fans,MX,321
Your Fans,GB,320
Your Fans,CA,274
Your Fans,AU,239
Your Fans,AZ,202
Your Fans,KR,184
Your Fans,IR,171
Your Fans,FR,161
Your Fans,ID,150
Your Fans,TH,138
Your Fans,AR,120
Your Fans,PL,108
Your Fans,PH,96
Your Fans,IN,88
Your Fans,MY,87
Your Fans,ZA,81
Your Fans,DE,76
Your Fans,TW,70
Your Fans,UZ,69
Your Fans,ES,64
Your Fans,CL,62
Your Fans,HK,60
Your Fans,CN,59
Your Fans,VN,57
Your Fans,IT,55
Your Fans,TR,52
Your Fans,NZ,45
Your Fans,SG,36
Your Fans,IE,35
Your Fans,NL,34
Your Fans,PT,32
Your Fans,DZ,28
Your Fans,MA,26
Your Fans,PE,26
Your Fans,KH,25
Your Fans,PK,23
Your Fans,HR,22
Your Fans,CO,22
Your Fans,SA,21
Your Fans,VE,21
