hashtags,Posts count,Reach,Engagement Rate
#RIZIN_LANDMARK11,93,11646.236559139785,619.6653763440861
#SuperRIZIN4,7,69143.71428571429,2.23
#RajabaliShaidullaev,1,39071,2.15
#KleberKoike,2,6740.5,3.3899999999999997
#MikuruAsakura,2,6740.5,3.3899999999999997
#MoeriSuda,1,6070,1.51
#NOEL,1,6070,1.51
#NaokiInoue,1,2815,2.37
#RyuyaFukuda,1,2815,2.37
#RIZIN,6,13754.666666666666,1.5883333333333332
#RIZINFightPicks,1,11615,2.56
#RIZINtv,12,13755,1.9583333333333333
#RIZINLANDMARK11,1,11615,2.56
#Zhaxibading,6,15190.833333333334,1.055
#PrinceAounallah,4,11137.5,1.18
#KeiichiSasahara,1,3710,0.88
#RIZINOfficialYouTubeUpdate,1,3710,0.88
#KenseiYamakawa,4,7904.75,1.285
#FarphayapGRABS,2,3976,0.825
#SoraYamamoto,3,8611.666666666666,1.593333333333333
#Salt,3,6835.666666666667,1.2366666666666666
#RaikiEndo,4,20432,1.01
#KanataUeno,4,7915.75,1.46
#KutoUeno,1,2884,1.63
#YuyaUzawa,4,44567.25,0.9375
#VugarKaramov,5,8943,2.08
#ViktorKolesnik,2,19609.5,0.8200000000000001
#IlkhomNozimov,4,5723.25,1.2325000000000002
#MagerramGasanzade,4,16298.5,1.5875000000000001
#AleksandrSoldatkin,3,11271.333333333334,1.4366666666666668
#YoshinoriHorie,4,8283.75,1.5575
#TaichiNakajima,3,6079.666666666667,1.1333333333333333
#SinaKarimian,5,13856.6,1.754
#Machi,3,7420.333333333333,1.3233333333333333
#JojiGoto,4,8476,1.665
#SASUKE,2,19796.5,0.6699999999999999
#SuguruNii,2,5616,1.07
#YamatoNishikawa,3,8725.666666666666,1.3833333333333335
#ShuyaKimura,4,11040.5,2.0324999999999998
#TatsuyaAndo,3,20536.333333333332,1.3233333333333335
#CORO,3,6341.333333333333,1.2033333333333334
#Viktor,1,6299,1.18
#Toshizo,1,22280,1.45
#KuutoUeno,2,7623.5,1.215
#JinnosukeKashimura,2,12381,1.405
#HiroakiSuzuki,2,11742,1.855
#RIZIN10thAnniversary,1,9835,2.15
#TsuwamonoNoSu,1,9835,2.15
#Toshizou,2,77144.5,0.7050000000000001
#KaijuKillerHidekiArato,1,39114,3.54
#FahpayapGRABS,1,9074,1.53
#HidetakaKaijuKiller,1,15070,1.6
#RIZIN51,1,9791,1.32
#AlexanderSoldatkin,1,13752,1.07
#RIZINFlyweightTournament2025,3,10616.333333333334,1.6300000000000001
#HiromasaOugikubo,1,13664,2.62
#MakotoShinryu,1,13664,2.62
#YukiIto,1,13664,2.62
#ErsonYamamoto,1,13664,2.62
#Hiroya,1,13664,2.62
#YukiMotoya,1,13664,2.62
#AlibekGadzhammatov,1,9217,1.19
#NkazimuloZulu,1,8968,1.08
