group,gender and age,count
Your Fans,Male, 25-34,3557
Your Fans,Male, 35-44,2713
Your Fans,Undisclosed, 18-24,2568
Your Fans,Undisclosed, 25-34,2398
Your Fans,Male, 18-24,2355
Your Fans,Undisclosed, 13-17,1435
Your Fans,Undisclosed, 35-44,1405
Your Fans,Male, 45-54,1201
Your Fans,Male, 13-17,1032
Your Fans,Undisclosed, 45-54,670
Your Fans,Female, 25-34,597
Your Fans,Female, 18-24,502
Your Fans,Female, 35-44,493
Your Fans,Female, 45-54,297
Your Fans,Male, 55-64,281
Your Fans,Undisclosed, 55-64,173
Your Fans,Female, 13-17,148
Your Fans,Male, 65+,113
Your Fans,Undisclosed, 65+,98
Your Fans,Female, 55-64,79
Your Fans,Female, 65+,20
