hashtags,Posts count,Impressions,Engagement Rate
#RIZIN_LANDMARK11,95,4130.178947368421,0.7326315789473684
#SuperRIZIN4,7,26912.571428571428,2.6714285714285713
#RajabaliShaidullaev,1,5746,1.3
#KleberKoike,2,2791.5,0.6
#MikuruAsakura,2,2791.5,0.6
#MoeriSuda,1,2549,1
#NOEL,1,2549,1
#NaokiInoue,1,2676,0.5
#RyuyaFukuda,1,2676,0.5
#RIZIN,6,2885.1666666666665,0.5833333333333334
#RIZINFightPicks,2,2870,0.55
#RIZINtv,14,4404,0.7785714285714286
#RIZINLANDMARK11,1,1718,0.5
#Zhaxibading,5,2583.8,0.6399999999999999
#PrinceAounallah,5,2187,0.7
#KeiichiSasahara,1,2066,0.6
#RIZINOfficialYouTubeUpdate,1,2066,0.6
#KenseiYamakawa,4,2606.75,0.975
#FarphayapGRABS,2,2247.5,0.8
#SoraYamamoto,3,2255,0.7999999999999999
#Salt,4,2695.5,0.675
#RaikiEndo,3,2394.6666666666665,0.8666666666666667
#KatanaUeno,1,958,0.6
#KutoUeno,1,1679,0.5
#KanataUeno,4,2545.25,1.025
#YuyaUzawa,3,1647.3333333333333,0.8333333333333334
#VugarKaramov,5,3136,0.6599999999999999
#ViktorKolesnik,3,2191.3333333333335,0.6
#IlkhomNozimov,4,2666.5,0.425
#MagerramGasanzade,4,2716.5,0.9750000000000001
#AleksandrSoldatkin,3,2019,0.4666666666666666
#YoshinoriHorie,4,2728.75,0.7250000000000001
#TaichiNakajima,3,4531.333333333333,1.0333333333333332
#SinaKarimian,5,9255,0.64
#Machi,4,2450.25,0.9
#JojiGoto,4,2670.25,0.7
#SASUKE,3,2293.6666666666665,0.5666666666666668
#SuguruNii,3,2587,0.3666666666666667
#YamatoNishikawa,3,2506,0.6666666666666666
#ShuyaKimura,4,3230.5,0.775
#TatsuyaAndo,3,3374.6666666666665,1.2666666666666666
#CORO,3,5379.333333333333,1
#Viktor,1,2433,0.5
#Toshizo,1,1922,0.7
#KuutoUeno,2,2932.5,1.3
#JinnosukeKashimura,2,2987,0.7
#HiroakiSuzuki,2,2493.5,0.8999999999999999
#IlkhomNodjimov,1,451,0
#RIZIN10thAnniversary,1,2904,0.9
#TsuwamonoNoSu,1,2904,0.9
#Toshizou,1,1175,1.5
#HidetakaKaijuKiller,2,19486.5,0.7000000000000001
#FahpayapGRABS,1,3069,1.3
#RIZIN51,1,3955,1
#AlexanderSoldatkin,2,2230,0.8500000000000001
