group,country,count
Your Fans,JP,17360
Your Fans,US,12423
Your Fans,BR,6900
Your Fans,PH,3298
Your Fans,GB,2949
Your Fans,MX,2571
Your Fans,AU,2464
Your Fans,TH,1949
Your Fans,CA,1489
Your Fans,CZ,1456
Your Fans,PL,1456
Your Fans,FR,1424
Your Fans,DE,1152
Your Fans,HR,886
Your Fans,IT,832
Your Fans,ES,827
Your Fans,KH,666
Your Fans,PT,663
Your Fans,PE,628
Your Fans,AR,601
Your Fans,MY,565
Your Fans,NZ,517
Your Fans,NL,485
Your Fans,IE,473
Your Fans,CL,424
Your Fans,MM,404
Your Fans,KR,379
Your Fans,IN,376
Your Fans,TW,373
Your Fans,VN,362
Your Fans,SK,335
Your Fans,ID,296
Your Fans,BE,272
Your Fans,SE,269
Your Fans,BO,264
Your Fans,HK,263
Your Fans,PK,255
Your Fans,CH,252
Your Fans,MA,224
Your Fans,RS,223
Your Fans,SG,220
Your Fans,AT,216
Your Fans,MN,206
Your Fans,CO,202
Your Fans,BG,195
