hashtags,Posts count,Reach,Engagement Rate
#RIZIN,14,3856.8571428571427,4.020148123822873
#RIZINtv,13,3961.4615384615386,4.163995515989963
#TheSmashingMachine,1,3178,1.6342892383595438
#RIZIN_WS_KOREA,33,7896,2.4014500145035944
#RIZIN_LANDMARK11,4,5299.5,2.677184921185523
#SuguruNii,2,4055,1.9745835315184412
#SASUKE,2,2567,1.3307432616365373
#TEAM_KOREA,2,2101,1.2402758932609679
#JoSangHae,1,1601,1.6969696969696972
#RIZIN_CONFESSIONS,1,1339,1.9522776572668112
#182,1,1339,1.9522776572668112
#RIZINOtokoMatsuri,1,2704,7.256637168141593
#RIZINLANDMARK11,1,10917,5.336468885672938
#RobertoSatoshiSouza,1,4088,2.0303326810176126
#HiroakiSuzuki,1,4088,2.0303326810176126
#KimSiWon,1,2601,0.7835820895522387
#FIGHTORDER,1,35583,7.071066684924005
#Kintaro,1,4283,1.7159629713253557
#ShoPatrickUsami,1,1617,2.142857142857143
#RIZIN_REWIND,3,2066.3333333333335,2.2229587251841836
#KiWonbin,1,898,1.1789924973204717
#MasonUsami,1,1240,1.5384615384615385
#ShokoSato,2,992.5,1.696192610788001
#YoshikiNakahara,1,3624,1.4831090359791266
#JuriOhara,1,3993,1.8532431755572252
#KojiTakeda,1,948,1.641025641025641
#KateLotus,2,55095,3.457249891954544
#Machi,1,1366,1.9014084507042253
#KuutoUeno,1,903,2.054054054054054
#KanataUeno,1,903,2.054054054054054
#JinnosukeKashimura,1,685,1.6689847009735743
#JojiGoto,1,2521,1.4454165081780146
#TaichiNakajima,1,5138,2.5496302063059555
#CORO,1,4505,1.6188214979494928
#SinaKarimian,1,2609,1.1286681715575622
#ShuyaKimura,1,3309,1.2352941176470587
#YoshinoriHorie,1,1985,1.680672268907563
#ShimYuRi,1,1746,2.1836506159014557
#RIZIN_Koreatrip,1,612,3.1746031746031744
#PARADISECITY,1,612,3.1746031746031744
