group,city,count
Your Fans,Bishkek, Bishkek,1123
Your Fans,Yokohama, Kanagawa Prefecture,482
Your Fans,Osaka, Osaka Prefecture,441
Your Fans,Nagoya-shi, Aichi Prefecture,353
Your Fans,Moscow, Moscow,230
Your Fans,Fukuoka-shi, Fukuoka Prefecture,200
Your Fans,Sapporo-shi, Hokkaido,190
Your Fans,Kawasaki-shi, Kanagawa Prefecture,190
Your Fans,Almaty, Almaty Region,174
Your Fans,Kyoto-shi, Kyoto Prefecture,173
Your Fans,Kobe-shi, Hyōgo Prefecture,160
Your Fans,Baku, Baku,155
Your Fans,Saint Petersburg, Saint Petersburg,153
Your Fans,Osh, Osh Region,147
Your Fans,Shymkent, South Kazakhstan Region,145
Your Fans,Kochkor-Ata, Jalal-Abad Region,144
Your Fans,Sendai, Miyagi Prefecture,130
Your Fans,Saitama-shi, Saitama Prefecture,130
Your Fans,Setagaya-ku, Tokyo,119
Your Fans,Tselinograd, Akmola Region,98
Your Fans,Chiba-shi, Chiba Prefecture,92
Your Fans,Kitakyushu-shi, Fukuoka Prefecture,91
Your Fans,Tehran, Tehran Province,86
Your Fans,Hiroshima, Hiroshima Prefecture,83
Your Fans,Hamamatsu-shi, Shizuoka Prefecture,81
Your Fans,Edogawa-ku, Tokyo,80
Your Fans,Sakai-shi, Osaka Prefecture,76
Your Fans,Ota-ku, Tokyo,74
Your Fans,Okayama-shi, Okayama Prefecture,74
Your Fans,Adachi-ku, Tokyo,73
Your Fans,Nerima-ku, Tokyo,71
Your Fans,Sagamihara-shi, Kanagawa Prefecture,70
Your Fans,Seoul, Seoul,68
Your Fans,Koto-ku, Tokyo,68
Your Fans,Bangkok, Bangkok,66
Your Fans,Niigata-shi, Niigata Prefecture,64
Your Fans,Kumamoto-shi, Kumamoto Prefecture,61
Your Fans,Hachioji, Tokyo,60
Your Fans,Himeji-shi, Hyōgo Prefecture,60
Your Fans,Shizuoka-shi, Shizuoka Prefecture,60
Your Fans,Mexico City, Distrito Federal,59
Your Fans,Minato-ku, Tokyo,58
Your Fans,Hong Kong, Hong Kong,58
Your Fans,Nakano-ku, Tokyo,57
Your Fans,Funabashi-shi, Chiba Prefecture,57
Your Fans,Novosibirsk, Novosibirsk Oblast,57
Your Fans,Suginami-ku, Tokyo,56
Your Fans,Kawaguchi-shi, Saitama Prefecture,55
Your Fans,Toshima, Tokyo,55
Your Fans,Katsushika-ku, Tokyo,54
