group,country,count
Your Fans,JP,11605
Your Fans,US,1934
Your Fans,KG,1501
Your Fans,BR,937
Your Fans,KZ,657
Your Fans,RU,538
Your Fans,MX,317
Your Fans,GB,315
Your Fans,CA,271
Your Fans,AU,230
Your Fans,AZ,186
Your Fans,KR,171
Your Fans,IR,165
Your Fans,FR,153
Your Fans,ID,143
Your Fans,TH,133
Your Fans,AR,120
Your Fans,PL,108
Your Fans,PH,90
Your Fans,IN,87
Your Fans,MY,81
Your Fans,ZA,80
Your Fans,DE,71
Your Fans,TW,68
Your Fans,UZ,61
Your Fans,CL,61
Your Fans,ES,61
Your Fans,HK,58
Your Fans,IT,54
Your Fans,VN,52
Your Fans,CN,51
Your Fans,TR,51
Your Fans,NZ,44
Your Fans,SG,35
Your Fans,IE,35
Your Fans,NL,33
Your Fans,PT,30
Your Fans,DZ,25
Your Fans,PE,25
Your Fans,MA,24
Your Fans,KH,24
Your Fans,CO,23
Your Fans,PK,23
Your Fans,HR,21
Your Fans,AE,20
Your Fans,SA,19
