hashtags,Posts count,Reach,Engagement Rate
#RIZIN,14,15281.42857142857,1.6664285714285711
#RIZINtv,13,16054.76923076923,1.6023076923076922
#TheSmashingMachine,1,6515,1.38
#RIZIN_WS_KOREA,32,5873.40625,1.5759375
#RIZIN_LANDMARK11,4,11985.5,1.7075
#SuguruNii,2,5842.5,1.315
#SASUKE,2,3944,1.155
#TEAM_KOREA,2,3450,1.21
#JoSangHae,1,4112,1.31
#RIZIN_CONFESSIONS,1,5398,2.66
#182,1,5398,2.66
#RIZINOtokoMatsuri,1,70710,2.87
#RIZINLANDMARK11,1,33019,1.8
#RobertoSatoshiSouza,1,4754,1.97
#HiroakiSuzuki,1,4754,1.97
#KimSiWon,1,2788,1.11
#FIGHTORDER,1,19830,0.95
#Kintaro,1,3860,1.71
#ShoPatrickUsami,1,3612,1.57
#RIZIN_REWIND,3,6850,1.5766666666666664
#KiWonbin,1,5137,1.18
#MasonUsami,1,7034,1.58
#ShokoSato,2,5838,1.57
#YoshikiNakahara,1,7231,1.57
#JuriOhara,1,6321,1.32
#KojiTakeda,1,6149,0.96
#KateLotus,2,9041.5,2.7199999999999998
#Machi,1,4869,1.82
#KuutoUeno,1,4478,1.77
#KanataUeno,1,4478,1.77
#JinnosukeKashimura,1,3428,1.65
#JojiGoto,1,3515,1.03
#TaichiNakajima,1,5907,1.02
#CORO,1,7389,1.32
#SinaKarimian,1,5491,1.14
#ShuyaKimura,1,3739,1.51
#YoshinoriHorie,1,4744,1.47
#ShimYuRi,1,7173,1.63
#RIZIN_Koreatrip,1,4075,1.93
#PARADISECITY,1,4075,1.93
