hashtags,Posts count,Impressions,Engagement Rate
#RIZIN,14,11098,0.6785714285714287
#RIZINtv,13,11642.076923076924,0.6923076923076924
#TheSmashingMachine,1,3257,0.9
#RIZIN_WS_KOREA,33,3281.3939393939395,0.5333333333333332
#RIZIN_LANDMARK11,4,4202.75,0.45
#SuguruNii,2,3335,0.4
#SASUKE,2,3476,0.3
#TEAM_KOREA,2,2991.5,0.44999999999999996
#JoSangHae,1,2910,0.6
#RIZIN_CONFESSIONS,1,3119,0.7
#182,1,3119,0.7
#RIZINOtokoMatsuri,1,42970,1.1
#RIZINLANDMARK11,1,4122,0.8
#RobertoSatoshiSouza,1,2677,0.3
#HiroakiSuzuki,1,2677,0.3
#KimSiWon,1,3073,0.3
#FIGHTORDER,1,5797,0.8
#Kintaro,1,2861,0.3
#ShoPatrickUsami,1,3212,0.5
#RIZIN_REWIND,3,3042,0.43333333333333335
#KiWonbin,1,3348,0.4
#MasonUsami,1,2622,0.4
#ShokoSato,2,2892.5,0.45
#YoshikiNakahara,1,2541,0.3
#JuriOhara,1,2588,0.2
#KojiTakeda,1,2646,0.3
#KateLotus,2,2845,0.55
#Machi,1,2312,0.5
#KuutoUeno,1,3073,0.3
#KanataUeno,1,3073,0.3
#JinnosukeKashimura,1,3214,0.4
#JojiGoto,1,3272,0.2
#TaichiNakajima,1,3197,0.4
#CORO,1,3194,0.4
#SinaKarimian,1,2646,0.3
#ShuyaKimura,1,2657,0
#YoshinoriHorie,1,3240,0.4
#ShimYuRi,1,2789,0.4
#RIZIN_Koreatrip,1,3238,0.4
#PARADISECITY,1,3238,0.4
