hashtags,Posts count,Reach,Engagement Rate
#PFLCapeTown,1,1173,2.0458265139116203
#SuperRIZIN4,94,6264.734042553191,2.677757797996367
#MoeriSuda,2,3331.5,2.3620734235962773
#NOEL,2,2855.5,2.1689538970249442
#RIZIN,29,3866.344827586207,3.4385046445916165
#MikioUeda,1,2335,1.526070368800339
#SeikaIzawa,3,1707,2.453675679311272
#KyomaAkimoto,2,298,1.539708265802269
#HiromasaOugikubo,3,2197.3333333333335,1.2894353255336855
#TakakiSoya,2,2709,1.1504934950605943
#MakotoShinryu,2,5656,1.5970376428360482
#ErsonYamamoto,2,5952.5,1.4476433712560948
#MasanoriKanehara,2,1185,2.5266541902371937
#YAMAN,2,1255.5,2.9651418215766494
#PatrickyPitbull,2,1067,1.5480008620252523
#ShuntaNomura,2,1172,1.9474481917823163
#NaokiInoue,3,723.3333333333334,1.0607796320954257
#RyuyaFukuda,3,1097,1.246895656545194
#MikuruAsakura,2,47973.5,3.355456057974433
#KleberKoike,3,7382.333333333333,2.2115627917408553
#RIZIN_CONFESSIONS,2,1606.5,1.258163864225403
#187,2,1606.5,1.258163864225403
#RIZINtv,60,2918.733333333333,2.6749015902775173
#RIZINFlyweightTournament2025,13,1868.1538461538462,1.682520943828356
#RIZINHeavyweightTournament2025,3,958.6666666666666,2.3716649291778826
#RIZIN_Preparation,1,945,1.3157894736842104
#FIGHTORDER,1,3324,8.075449454759799
#JoseTorres,1,560,1.3559322033898304
#10,1,728,1.3245033112582782
#NkazimuloZulu,2,838.5,1.8390328037414179
#KokiAkada,1,564,1.697792869269949
#AlibekGadzhammatov,2,858.5,2.017192151145131
#HIROYA,2,2848,1.5064002284691476
#JiYongYang,1,516,0.74487895716946
#YuJinShin,1,525,1.4010507880910683
#YukiIto,2,3702,1.4559939908586341
#RIZINOnTheFly,3,1082.3333333333333,1.28342589297507
#RIZIN_LANDMARK12,1,2170,4.24507658643326
#YangJiYong,1,1847,1.4830508474576272
#AleksandrSoldatkin,1,1847,1.4830508474576272
#RIZIN51,1,10887,5.12548603746907
#RIZINBackstageMovie,2,2610.5,1.5680891819052498
#RIZINFlyweightGP2025,1,1345,1.5107913669064748
