group,city,count
Your Fans,Bishkek, Bishkek,1447
Your Fans,Yokohama, Kanagawa Prefecture,577
Your Fans,Osaka, Osaka Prefecture,527
Your Fans,Nagoya-shi, Aichi Prefecture,444
Your Fans,Sapporo-shi, Hokkaido,254
Your Fans,Osh, Osh Region,203
Your Fans,Kobe-shi, Hyōgo Prefecture,201
Your Fans,Fukuoka-shi, Fukuoka Prefecture,197
Your Fans,Almaty, Almaty Region,192
Your Fans,Kawasaki-shi, Kanagawa Prefecture,185
Your Fans,Saint Petersburg, Saint Petersburg,174
Your Fans,Moscow, Moscow,174
Your Fans,Baku, Baku,173
Your Fans,Kyoto-shi, Kyoto Prefecture,173
Your Fans,Saitama-shi, Saitama Prefecture,156
Your Fans,Setagaya-ku, Tokyo,152
Your Fans,Shymkent, South Kazakhstan Region,143
Your Fans,Sendai, Miyagi Prefecture,139
Your Fans,Kitakyushu-shi, Fukuoka Prefecture,120
Your Fans,Hiroshima, Hiroshima Prefecture,114
Your Fans,Tselinograd, Akmola Region,110
Your Fans,Edogawa-ku, Tokyo,107
Your Fans,Chiba-shi, Chiba Prefecture,98
Your Fans,Adachi-ku, Tokyo,95
Your Fans,Hamamatsu-shi, Shizuoka Prefecture,95
Your Fans,Sakai-shi, Osaka Prefecture,91
Your Fans,Ota-ku, Tokyo,90
Your Fans,Okayama-shi, Okayama Prefecture,82
Your Fans,Nerima-ku, Tokyo,81
Your Fans,Kochkor-Ata, Jalal-Abad Region,81
Your Fans,Koto-ku, Tokyo,80
Your Fans,Bangkok, Bangkok,75
Your Fans,Sagamihara-shi, Kanagawa Prefecture,73
Your Fans,Nakano-ku, Tokyo,72
Your Fans,Itabashi-ku, Tokyo,71
Your Fans,Kumamoto-shi, Kumamoto Prefecture,69
Your Fans,Tehran, Tehran Province,69
Your Fans,Mexico City, Distrito Federal,69
Your Fans,Hachioji, Tokyo,67
Your Fans,Tashkent, Tashkent Region,67
Your Fans,Funabashi-shi, Chiba Prefecture,66
Your Fans,Hong Kong, Hong Kong,66
Your Fans,Suginami-ku, Tokyo,66
Your Fans,Katsushika-ku, Tokyo,65
Your Fans,Naha-shi, Okinawa Prefecture,64
Your Fans,Himeji-shi, Hyōgo Prefecture,64
Your Fans,Niigata-shi, Niigata Prefecture,63
Your Fans,Kawaguchi-shi, Saitama Prefecture,63
Your Fans,Minato-ku, Tokyo,63
Your Fans,New York, New York,62
