group,country,count
Your Fans,JP,13232
Your Fans,US,2162
Your Fans,KG,1723
Your Fans,BR,1038
Your Fans,KZ,668
Your Fans,RU,619
Your Fans,GB,365
Your Fans,MX,332
Your Fans,CA,288
Your Fans,AU,265
Your Fans,AZ,222
Your Fans,KR,201
Your Fans,FR,179
Your Fans,IR,174
Your Fans,ID,171
Your Fans,TH,150
Your Fans,PL,127
Your Fans,AR,124
Your Fans,IN,95
Your Fans,MY,95
Your Fans,PH,95
Your Fans,ZA,93
Your Fans,DE,88
Your Fans,UZ,83
Your Fans,TW,77
Your Fans,ES,77
Your Fans,CN,72
Your Fans,CL,68
Your Fans,HK,66
Your Fans,IT,65
Your Fans,VN,62
Your Fans,TR,55
Your Fans,NZ,46
Your Fans,IE,40
Your Fans,PT,39
Your Fans,NL,37
Your Fans,SG,36
Your Fans,DZ,32
Your Fans,MA,30
Your Fans,PE,29
Your Fans,HR,26
Your Fans,KH,25
Your Fans,PK,25
Your Fans,CO,24
Your Fans,SA,23
