group,gender and age,count
Your Fans,Male, 25-34,3993
Your Fans,Male, 35-44,3011
Your Fans,Undisclosed, 18-24,2751
Your Fans,Undisclosed, 25-34,2687
Your Fans,Male, 18-24,2494
Your Fans,Undisclosed, 35-44,1583
Your Fans,Undisclosed, 13-17,1493
Your Fans,Male, 45-54,1334
Your Fans,Male, 13-17,1064
Your Fans,Undisclosed, 45-54,756
Your Fans,Female, 25-34,630
Your Fans,Female, 35-44,518
Your Fans,Female, 18-24,498
Your Fans,Female, 45-54,321
Your Fans,Male, 55-64,304
Your Fans,Undisclosed, 55-64,193
Your Fans,Female, 13-17,150
Your Fans,Male, 65+,131
Your Fans,Undisclosed, 65+,108
Your Fans,Female, 55-64,88
Your Fans,Female, 65+,20
