hashtags,Posts count,Impressions,Engagement Rate
#PFLCapeTown,1,2748,0.2
#SuperRIZIN4,100,5266.04,1.0650000000000002
#RIZIN,29,6698.241379310345,1.1172413793103448
#MikioUeda,1,2833,0.3
#SeikaIzawa,2,2845.5,0.35
#HiromasaOugikubo,2,5443,0.55
#TakakiSoya,1,5059,0.5
#MakotoShinryu,1,3332,0.6
#ErsonYamamoto,2,4579.5,0.6
#MasanoriKanehara,1,3039,0.6
#YAMAN,1,3039,0.6
#PatrickyPitbull,1,3473,0.4
#ShuntaNomura,1,3473,0.4
#NaokiInoue,1,3046,0.4
#RyuyaFukuda,2,2875.5,0.30000000000000004
#KleberKoike,2,3613,0.8
#RIZIN_CONFESSIONS,2,6206,0.7
#187,2,6206,0.7
#RIZINtv,27,7841.888888888889,0.8518518518518519
#RIZINFlyweightTournament2025,14,3088.714285714286,0.9785714285714286
#RIZINHeavyweightTournament2025,3,3367.3333333333335,0.7999999999999999
#RIZIN_Preparation,1,2810,0.9
#FIGHTORDER,1,7211,1.1
#MikuruAsakura,1,2972,1.2
#AlibekGadzhammatov,2,3939,0.5
#JiYongYang,1,2163,0.8
#YuJinShin,1,2311,0.6
#RIZINOnTheFly,3,3773.6666666666665,0.5666666666666668
#RIZIN51,8,4596.375,1.2499999999999998
#RIZIN_LANDMARK12,1,3628,1.7
#NkazimuloZulu,1,5827,0.6
#YangJiYong,1,2705,0.2
#AleksandrSoldatkin,1,2705,0.2
#YukiIto,1,2729,0.6
#RIZINBackstageMovie,2,2620,0.44999999999999996
#RIZINFlyweightGP2025,1,2764,0.6
#HIROYA,1,3093,0.5
