Platform,Day of Week,JST Hour,posts,med_eng_rate,mean_impr
FB,Monday,1,1,1.24,61314.0
FB,Sunday,2,1,1.16,28502.0
FB,Wednesday,1,1,0.69,106838.0
FB,Tuesday,22,1,0.65,13890.0
FB,Tuesday,4,1,0.61,36515.0
FB,Sunday,21,1,0.59,18146.0
FB,Sunday,0,1,0.57,64464.0
FB,Monday,6,1,0.56,90172.0
FB,Saturday,20,1,0.51,62308.0
FB,Sunday,6,1,0.47,37505.0
FB,Monday,7,1,0.43,80869.0
FB,Sunday,3,1,0.39,13443.0
FB,Monday,4,1,0.31,529944.0
FB,Sunday,1,1,0.28,21038.0
FB,Saturday,2,1,0.12,20827.0
FB,Monday,0,0,,
FB,Monday,2,0,,
FB,Monday,3,0,,
FB,Monday,5,0,,
FB,Monday,16,0,,
FB,Monday,17,0,,
FB,Monday,20,0,,
FB,Monday,21,0,,
FB,Monday,22,0,,
FB,Monday,23,0,,
FB,Tuesday,0,0,,
FB,Tuesday,1,0,,
FB,Tuesday,2,0,,
FB,Tuesday,3,0,,
FB,Tuesday,5,0,,
FB,Tuesday,6,0,,
FB,Tuesday,7,0,,
FB,Tuesday,16,0,,
FB,Tuesday,17,0,,
FB,Tuesday,20,0,,
FB,Tuesday,21,0,,
FB,Tuesday,23,0,,
FB,Wednesday,0,0,,
FB,Wednesday,2,0,,
FB,Wednesday,3,0,,
FB,Wednesday,4,0,,
FB,Wednesday,5,0,,
FB,Wednesday,6,0,,
FB,Wednesday,7,0,,
FB,Wednesday,16,0,,
FB,Wednesday,17,0,,
FB,Wednesday,20,0,,
FB,Wednesday,21,0,,
FB,Wednesday,22,0,,
FB,Wednesday,23,0,,
FB,Thursday,0,0,,
FB,Thursday,1,0,,
FB,Thursday,2,0,,
FB,Thursday,3,0,,
FB,Thursday,4,0,,
FB,Thursday,5,0,,
FB,Thursday,6,0,,
FB,Thursday,7,0,,
FB,Thursday,16,0,,
FB,Thursday,17,0,,
FB,Thursday,20,0,,
FB,Thursday,21,0,,
FB,Thursday,22,0,,
FB,Thursday,23,0,,
FB,Friday,0,0,,
FB,Friday,1,0,,
FB,Friday,2,0,,
FB,Friday,3,0,,
FB,Friday,4,0,,
FB,Friday,5,0,,
FB,Friday,6,0,,
FB,Friday,7,0,,
FB,Friday,16,0,,
FB,Friday,17,0,,
FB,Friday,20,0,,
FB,Friday,21,0,,
FB,Friday,22,0,,
