Day of Week,0,1,2,3,4,6,7,20,21,22,Platform,5,23,16,17
Monday,,1.24,,,0.31,0.56,0.43,,,,FB,,,,
Tuesday,,,,,0.61,,,,,0.65,FB,,,,
Wednesday,,0.69,,,,,,,,,FB,,,,
Saturday,,,0.12,,,,,0.51,,,FB,,,,
Sunday,0.57,0.28,1.16,0.39,,0.47,,,0.59,,FB,,,,
Monday,,,,,0.96,2.11,,,0.72,,IG,,,,
Tuesday,,,2.12,,,,,,,,IG,1.71,0.73,,
Wednesday,,,,1.4,,,,,,,IG,,,,
Sunday,2.0,,3.62,3.53,,,,,,,IG,2.75,,,
Monday,,,,,0.11,0.06,,,,,X,,,,
Tuesday,,,0.12,,,,,,,,X,,,,
Wednesday,,,,,,,,,,,X,,,0.13,0.14
Thursday,,,,0.03,0.01,,,,,,X,,,,
Saturday,,,,,,,,,0.03,,X,,,,
Sunday,0.09,,,,0.01,,,,,,X,0.17,,,
