Platform,Day of Week,Time of Day (hour),Median ER
FB,Monday,1,1.24
FB,Sunday,2,1.16
FB,Wednesday,1,0.69
FB,Tuesday,22,0.65
FB,Tuesday,4,0.61
FB,Sunday,21,0.59
FB,Sunday,0,0.57
FB,Monday,6,0.56
FB,Saturday,20,0.51
FB,Sunday,6,0.47
FB,Monday,7,0.43
FB,Sunday,3,0.39
FB,Monday,4,0.31
FB,Sunday,1,0.28
FB,Saturday,2,0.12
IG,Sunday,2,3.62
IG,Sunday,3,3.53
IG,Sunday,5,2.75
IG,Tuesday,2,2.12
IG,Monday,6,2.11
IG,Sunday,0,2.0
IG,Tuesday,5,1.71
IG,Wednesday,3,1.4
IG,Monday,4,0.96
IG,Tuesday,23,0.73
IG,Monday,21,0.72
X,Sunday,5,0.17
X,Wednesday,17,0.14
X,Wednesday,16,0.13
X,Tuesday,2,0.12
X,Monday,4,0.11
X,Sunday,0,0.09
X,Monday,6,0.06
X,Saturday,21,0.03
X,Thursday,3,0.03
X,Sunday,4,0.01
X,Thursday,4,0.01
