Event,Platform,Post Date (JST),Time of Day (hour),Day of Week,Post URL,Format,Hashtags,Content Theme,Impressions,Reach,Engagements,Engagement Rate,Link Clicks,Follows Gained (estimated),Notes / Source file
Rizin Landmark,FB,06/14/2025,16,Saturday,https://facebook.com/1646117315664111_1015107894167047,Video,#RaikiEndo #ZhaXiBading,,21038,20724,59,0.28,150,0,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/13/2025,17,Friday,https://facebook.com/1646117315664111_1014391890905314,Video,#RIZIN_LANDMARK11 #Toshizo #YuyaUzawa,,20827,19883,26,0.12,272,0,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/15/2025,12,Sunday,https://facebook.com/1646117315664111_1015751137436056,Video,#RIZIN_LANDMARK11,,18146,18036,107,0.59,307,0,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/10/2025,13,Tuesday,https://facebook.com/1646117315664111_1012060911138412,Static,#RIZIN_LANDMARK11,,13890,12474,90,0.65,645,13,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/14/2025,18,Saturday,https://facebook.com/1646117315664111_1015171757493994,Video,#RIZIN_LANDMARK11 #MagerramGasanzade #TatsuyaAndo,,13443,12923,52,0.39,357,0,posts-20250607-to-20250616.csv
Rizin Landmark,IG,06/07/2025,20,Saturday,https://www.instagram.com/p/DKmRY6gJHMh/,Static,#SuperRIZIN4,,289664,196894,7964,2.75,,23,posts-20250607-to-20250616.csv
Rizin Landmark,IG,06/07/2025,20,Saturday,https://www.instagram.com/p/DKmQnPBJASD/,Static,#SuperRIZIN4,,163597,96758,3963,2.42,,11,posts-20250607-to-20250616.csv
Rizin Landmark,IG,06/07/2025,20,Saturday,https://www.instagram.com/p/DKmQbdrxsLK/,Static,#SuperRIZIN4,,111415,75021,2885,2.59,,8,posts-20250607-to-20250616.csv
Rizin Landmark,IG,06/09/2025,20,Monday,https://www.instagram.com/p/DKrcyCcP4mK/,Carousel,#RIZIN_LANDMARK11,,153302,66155,2626,1.71,,0,posts-20250607-to-20250616.csv
Rizin Landmark,IG,06/14/2025,18,Saturday,https://www.instagram.com/reel/DK4HGo-vEgC/,Reel,#RIZIN_LANDMARK11 #SinaKarimian #KaijuKillerHidekiArato #RIZINtv,,62016,39114,2191,3.53,,2,posts-20250607-to-20250616.csv
