Event,Platform,Post Date (JST),Time of Day (hour),Day of Week,Post URL,Format,Hashtags,Content Theme,Impressions,Reach,Engagements,Engagement Rate,Link Clicks,Follows Gained (estimated),Notes / Source file
Rizin Landmark,FB,06/15/2025,1,Sunday,https://facebook.com/1646117315664111_1015107894167047,Video,#RaikiEndo #ZhaXiBading,,21038,20724,59,0.28,150,0,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/14/2025,2,Saturday,https://facebook.com/1646117315664111_1014391890905314,Video,#RIZIN_LANDMARK11 #Toshizo #YuyaUzawa,,20827,19883,26,0.12,272,0,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/15/2025,21,Sunday,https://facebook.com/1646117315664111_1015751137436056,Video,#RIZIN_LANDMARK11,,18146,18036,107,0.59,307,0,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/10/2025,22,Tuesday,https://facebook.com/1646117315664111_1012060911138412,Static,#RIZIN_LANDMARK11,,13890,12474,90,0.65,645,0,posts-20250607-to-20250616.csv
Rizin Landmark,FB,06/15/2025,3,Sunday,https://facebook.com/1646117315664111_1015171757493994,Video,#RIZIN_LANDMARK11 #MagerramGasanzade #TatsuyaAndo,,13443,12923,52,0.39,357,0,posts-20250607-to-20250616.csv
Rizin South Korea,FB,05/28/2025,1,Wednesday,https://facebook.com/1646117315664111_1001807742163729,Video,#RIZIN_WS_KOREA #KateLotus,,106838,106635,734,0.69,3121,0,posts-20250524-to-20250602.csv
Rizin South Korea,FB,06/01/2025,0,Sunday,https://facebook.com/1646117315664111_1004691808541989,Video,,,64464,62394,366,0.57,5234,0,posts-20250524-to-20250602.csv
Rizin South Korea,FB,05/31/2025,20,Saturday,https://facebook.com/1646117315664111_1004576918553478,Video,#RIZIN_WS_KOREA,,62308,59875,318,0.51,1495,0,posts-20250524-to-20250602.csv
Rizin South Korea,FB,05/27/2025,4,Tuesday,https://facebook.com/1646117315664111_1001178232226680,Static,#RIZIN_WS_KOREA #FIGHTORDER,FightOrder,36515,35583,223,0.61,2359,0,posts-20250524-to-20250602.csv
Rizin South Korea,FB,06/01/2025,2,Sunday,https://facebook.com/1646117315664111_1004772705200566,Video,,,28502,27457,331,1.16,1318,0,posts-20250524-to-20250602.csv
Rizin 4,FB,07/28/2025,4,Monday,https://facebook.com/1646117315664111_1048361720841664,Video,,,529944,524993,1620,0.31,47773,0,posts-20250720-to-20250729.csv
Rizin 4,FB,07/28/2025,6,Monday,https://facebook.com/1646117315664111_1048449530832883,Video,#SuperRIZIN4 #SuperRIZIN4!,,90172,87983,503,0.56,5673,0,posts-20250720-to-20250729.csv
Rizin 4,FB,07/21/2025,7,Monday,https://facebook.com/1646117315664111_1043033981374438,Video,#SuperRIZIN4 #MikuruAsakura,,80869,77354,347,0.43,2896,0,posts-20250720-to-20250729.csv
Rizin 4,FB,07/28/2025,1,Monday,https://facebook.com/1646117315664111_1048259520851884,Video,#SuperRIZIN4,,61314,58799,759,1.24,2860,0,posts-20250720-to-20250729.csv
Rizin 4,FB,07/27/2025,6,Sunday,https://facebook.com/1646117315664111_1047635097580993,Video,#SuperRIZIN4 #SuperRIZIN4 #RIZINTV,,37505,37505,177,0.47,306,0,posts-20250720-to-20250729.csv
