Event,Platform,Post Date (JST),Time of Day (hour),Day of Week,Post URL,Format,Hashtags,Content Theme,Impressions,Reach,Engagements,Engagement Rate,Link Clicks,Follows Gained (estimated),Notes / Source file
Rizin Landmark,IG,06/08/2025,5,Sunday,,Static,#SuperRIZIN4,,289664,196894,7964,2.75,,0,posts-20250607-to-20250616.csv
Rizin Landmark,IG,06/10/2025,5,Tuesday,,Carousel,#RIZIN_LANDMARK11,,153302,66155,2626,1.71,,0,posts-20250607-to-20250616.csv
Rizin Landmark,IG,06/15/2025,3,Sunday,,Reel,#RIZIN_LANDMARK11 #SinaKarimian #KaijuKillerHidekiArato #RIZINtv,,62016,39114,2191,3.53,,0,posts-20250607-to-20250616.csv
Rizin South Korea,IG,05/27/2025,2,Tuesday,,Carousel,#RIZINOtokoMatsuri #RIZIN #RIZINTV #RIZINOtokoMatsuri,,145591,70710,4158,2.86,,0,posts-20250524-to-20250602.csv
Rizin South Korea,IG,06/01/2025,2,Sunday,,Reel,,,47118,27234,1706,3.62,,0,posts-20250524-to-20250602.csv
Rizin South Korea,IG,06/01/2025,0,Sunday,,Reel,,,85121,44204,1699,2.0,,0,posts-20250524-to-20250602.csv
Rizin South Korea,IG,05/27/2025,2,Tuesday,,Carousel,#RIZIN_WS_KOREA!,,61935,29155,1312,2.12,,0,posts-20250524-to-20250602.csv
Rizin South Korea,IG,05/27/2025,2,Tuesday,,Static,"#RIZIN_LANDMARK11 #RIZIN #RIZINTV #RIZINLANDMARK11""",,62684,33019,1103,1.76,,0,posts-20250524-to-20250602.csv
Rizin 4,IG,07/28/2025,4,Monday,,Reel,,,1094048,793418,10449,0.96,,0,posts-20250720-to-20250729.csv
Rizin 4,IG,07/28/2025,6,Monday,,Reel,#SuperRIZIN4 #SuperRIZIN4!,,278395,183529,5871,2.11,,0,posts-20250720-to-20250729.csv
Rizin 4,IG,07/29/2025,23,Tuesday,,Static,#RIZIN51 #RIZINtv:,,449285,214503,3278,0.73,,0,posts-20250720-to-20250729.csv
Rizin 4,IG,07/23/2025,3,Wednesday,,Static,#SuperRIZIN4 #RIZIN #RIZINtv,,221395,88088,3089,1.4,,0,posts-20250720-to-20250729.csv
Rizin 4,IG,07/21/2025,21,Monday,,Static,#SuperRIZIN4,,356071,153289,2568,0.72,,0,posts-20250720-to-20250729.csv
