Event,Platform,Post Date (JST),Time of Day (hour),Day of Week,Post URL,Format,Hashtags,Content Theme,Impressions,Reach,Engagements,Engagement Rate,Link Clicks,Follows Gained (estimated),Notes / Source file
Rizin Landmark,X,06/08/2025,5,Sunday,,Static,#SuperRIZIN4,,78377,,132,0.17,,0,posts-20250607-to-20250616.csv
Rizin Landmark,X,06/15/2025,4,Sunday,,Video,#RIZIN_LANDMARK11 #SinaKarimian #HidetakaKaijuKiller,,33176,,2,0.01,,0,posts-20250607-to-20250616.csv
Rizin Landmark,X,06/07/2025,21,Saturday,,Video,#RIZIN_LANDMARK11,,25497,,7,0.03,,0,posts-20250607-to-20250616.csv
Rizin South Korea,X,06/01/2025,0,Sunday,,Video,,,69681,,63,0.09,,0,posts-20250524-to-20250602.csv
Rizin South Korea,X,05/27/2025,2,Tuesday,,Static,#RIZINOtokoMatsuri #RIZIN #RIZINTV #RIZINOtokoMatsuri,,42970,,51,0.12,,0,posts-20250524-to-20250602.csv
Rizin South Korea,X,05/29/2025,3,Thursday,,Static,#RIZIN_WS_KOREA,,33822,,9,0.03,,0,posts-20250524-to-20250602.csv
Rizin 4,X,07/30/2025,16,Wednesday,,Static,#SuperRIZIN4 #RIZIN #RIZINtv,,43434,,55,0.13,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/28/2025,4,Monday,,Video,,,36856,,41,0.11,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/24/2025,4,Thursday,,Video,#SuperRIZIN4 #RIZINtv,,32613,,4,0.01,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/30/2025,17,Wednesday,,Static,#SuperRIZIN4 #RIZIN #RIZINtv,,23768,,34,0.14,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/28/2025,6,Monday,,Video,#SuperRIZIN4 #RIZINtv:,,17248,,10,0.06,,0,posts-20250720-to-20250729.csv
